HIP,Name,Num,Constellation,RA,Dec,Mag,NameJ,Prn
6960,,48,Cet,22.400417,-21.629333,5.11,,
6981,,97,Psc,22.470125,18.355667,6.01,,
6999,,49,And,22.525417,47.007389,5.27,,
7007,,μ,Psc,22.545583,6.143944,4.84,,
7078,,38,Cas,22.806333,70.264778,5.82,,
7083,,δ,Phe,22.812417,-49.073083,3.93,,
7097,,η,Psc,22.870792,15.345833,3.62,,
7294,,χ,Cas,23.483042,59.232083,4.68,,
7345,,49,Cet,23.657167,-15.676361,5.62,,
7436,,101,Psc,23.9435,14.661444,6.23,,
7450,,50,Cet,23.995667,-15.400222,5.41,,
7463,,τ,Scl,24.035125,-29.907444,5.69,,
7513,,υ,And,24.199917,41.406389,4.1,,
7535,,π,Psc,24.274833,12.1415,5.54,,
7588,Acherr,α,Eri,24.428125,-57.236667,0.45,アケルナル,
7607,,51,And,24.497917,48.6285,3.59,,
7650,,40,Cas,24.628917,73.040083,5.28,,
7719,,χ,And,24.837583,44.386139,5.01,,
7740,,105,Psc,24.919875,16.405889,5.98,,
7751,,p,Eri,24.946833,-56.196444,5.76,,
7818,,τ,And,25.145,40.577111,4.96,,
7879,,τ1,Hyi,25.338708,-79.14825,6.33,,
7884,,ν,Psc,25.357958,5.487611,4.45,,
7955,,π,Scl,25.536042,-32.326861,5.25,,
7965,,43,Cas,25.585167,68.043056,5.57,,
7978,,q1,Eri,25.621458,-53.740583,5.52,,
7981,,107,Psc,25.624792,20.270139,5.24,,
8016,,42,Cas,25.732208,70.622556,5.18,,
8046,,44,Cas,25.83225,60.551361,5.78,,
8068,,φ,Per,25.915083,50.688778,4.01,,
8102,,τ,Cet,26.021375,-15.939556,3.49,,
8159,,109,Psc,26.232708,20.083417,6.27,,
8198,,ο,Psc,26.348292,9.157639,4.26,,
8209,,ε,Scl,26.411042,-25.052444,5.29,,
8241,,q2,Eri,26.525583,-53.522194,5.04,,
8366,,τ2,Hyi,26.944542,-80.176167,6.05,,
8387,,4,Ari,27.045417,16.955639,5.86,,
8497,,χ,Cet,27.396625,-10.686194,4.66,,
