県番号,都道府県,名称,郵便番号,住所,緯度,経度
15,新潟県,上越,943-0804,新潟県上越市新光町1-1-52,37.1558524,138.2372043
15,新潟県,県央,955-0046,新潟県三条市興野3-10-1　エルビービル2F,37.6330831,138.9737981
16,富山県,富山,939-8211,富山県富山市二口町4丁目7番地4,36.6676187,137.2054745
16,富山県,高岡射水,939-0275,富山県射水市八塚473,36.7299191,137.0560365
16,富山県,新川,936-0806,富山県滑川市北野466,36.7688383,137.3727223
16,富山県,砺波,939-1368,富山県砺波市本町7-4　山崎屋ビル2F,36.637402,136.951096
17,石川県,金沢,920-0846,石川県金沢市昌永町7-6,36.5796204,136.660154
17,石川県,能登,929-2222,石川県七尾市中島町中島　ヌ7-2,37.1171197,136.8604356
17,石川県,加賀,922-0437,石川県加賀市白山台103-1 朝陽館1F,36.3222557,136.3489448
18,福井県,福井,918-8013,福井県福井市花堂東1丁目6-11,36.0423025,136.2216188
18,福井県,越前,916-0066,福井県鯖江市上氏家町26-15-1,35.9376571,136.1579649
27,大阪府,大阪,545-0021,大阪府大阪市阿倍野区阪南町2丁目22-15,34.6312602,135.5153993
27,大阪府,大阪同胞,558-0013,大阪府大阪市住吉区我孫子東2-1-26清心会館2Ｆ,34.6013663,135.5125584
27,大阪府,水都,533-0033,大阪市東淀川区東中島1-8-5 2F,34.7294658,135.5022207
27,大阪府,新大阪,532-0033,大阪市淀川区新高3-9-14　ピカソビル2F,34.7370474,135.4827571
27,大阪府,東大阪,577-0054,大阪府東大阪市高井田元町2丁目12-38　サンケイビル3F,34.6652752,135.5761136
27,大阪府,吹田,564-0044,大阪府吹田市南金田２丁目25-17 4F,34.7539044,135.5021224
27,大阪府,豊中,560-0022,大阪府豊中市北桜塚3-1-13,34.7831794,135.4685511
27,大阪府,大阪孝成,560-0041,大阪府豊中市清風荘1-7-33　CASA AZUL１階東側,34.8010573,135.4504502
27,大阪府,京阪,570-0032,大阪府守口市菊水通2丁目9-16,34.7311657,135.5787335
27,大阪府,堺,590-0076,大阪府堺市堺区北瓦町1-2-22　セイキセンタービル401,34.5760861,135.4814872
27,大阪府,堺西,590-0971,大阪府堺市堺区栄橋町1-4-7,34.580672,135.468135
27,大阪府,岸和田,596-0055,大阪府岸和田市五軒屋町2-6　SUビル2F,34.462926,135.376104
27,大阪府,藤井寺,583-0027,大阪府藤井寺市岡1-9-41　藤井ビル,34.5748572,135.5960062
27,大阪府,門真,571-0048,大阪府門真市新橋町17-8　ライズビル4Ｆ,34.7358197,135.5845141
27,大阪府,富田林,584-0092,大阪府富田林市昭和町1-9-28　ピュアワールドプラザ4Ｆ,34.504179,135.5997684
27,大阪府,新北摂,567-0883,大阪府茨木市大手町10-31　茨木大手町ビル6F,34.8167193,135.5705219
27,大阪府,花園,578-0942,大阪府東大阪市若江本町4-5-7,34.6548014,135.6050469
27,大阪府,八尾,581-0018,大阪府八尾市青山町4-10-32,34.6196772,135.6115979
26,京都府,京都,615-0032,京都府京都市右京区西院西高田町6番地,34.9972567,135.7307955
26,京都府,京都伏見,612-8301,京都府京都市伏見区加賀屋町732,34.9453646,135.7580075
26,京都府,北都,624-0841,京都府舞鶴市字引土小字京橋250 大幸ビル4F,35.4401909,135.323039
29,奈良県,奈良,631-0816,奈良県奈良市西大寺本町3-23,34.6962415,135.780751
29,奈良県,平城,630-8013,奈良県奈良市三条大路1-10-10　タカハシ第3ビル2F,34.6834476,135.8014516
29,奈良県,大和郡山,639-1121,奈良県大和郡山市杉町 269-1,34.6343705,135.7862977
29,奈良県,橿原,634-0813,奈良県橿原市四条町785-8,34.5042683,135.784501
29,奈良県,かつらぎ,639-0235,奈良県香芝市良福寺97-1,34.5264886,135.7093425
25,滋賀県,大津,520-0038,滋賀県大津市山上町2-43　アロマコート,35.0207043,135.85489
25,滋賀県,瀬田,520-2144,滋賀県大津市大萱1-17-14　松政ビル5F,34.9869785,135.9266647
25,滋賀県,彦根,522-0002,滋賀県彦根市松原町3617-3,35.2743905,136.2596827
